## Generation 0 
{'pos_end_effector': array([-1.26229626,  3.33685808]), 'dist_end_effector': -3.417430121851819, 'collision': False}
{'pos_end_effector': array([-0.24110477, -4.02694834]), 'dist_end_effector': -4.39431739127574, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.30526531, -2.37018574]), 'dist_end_effector': -3.30636183568811, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.63264132, 0.85628998]), 'dist_end_effector': -6.687687446685869, 'collision': False}
{'pos_end_effector': array([ 2.89989941, -2.0877518 ]), 'dist_end_effector': -5.3261357299991, 'collision': False}
{'pos_end_effector': array([0.24254192, 2.70578359]), 'dist_end_effector': -3.514293546414018, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.22430361, -0.464142  ]), 'dist_end_effector': -4.249725727505293, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.05333763, -0.05319044]), 'dist_end_effector': -6.053571315977675, 'collision': False}
{'pos_end_effector': array([ 1.77627058, -3.55225721]), 'dist_end_effector': -5.18447207807093, 'collision': False}
{'pos_end_effector': array([ 1.84646052, -1.69585556]), 'dist_end_effector': -4.203710814067338, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.10644368, -3.04349192]), 'dist_end_effector': -4.3488889878483725, 'collision': False}
{'pos_end_effector': array([2.68036433, 2.33119506]), 'dist_end_effector': -5.228793425984253, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.31038368, -1.76633682]), 'dist_end_effector': -2.908232882341023, 'collision': False}
{'pos_end_effector': array([ 0.32847889, -0.97288763]), 'dist_end_effector': -2.523553901490615, 'collision': False}
{'pos_end_effector': array([-0.62163431,  2.02664425]), 'dist_end_effector': -2.45095468334163, 'collision': False}
{'pos_end_effector': array([1.07608535, 0.41047155]), 'dist_end_effector': -3.10335108493231, 'collision': False}
