## Generation 0 
{'pos_end_effector': array([-0.85278008, -1.1571314 ]), 'dist_end_effector': -1.6294375119718185, 'collision': False}
{'pos_end_effector': array([ 1.01879379, -1.62671038]), 'dist_end_effector': -3.429183958087019, 'collision': False}
{'pos_end_effector': array([0.24480903, 2.16704424]), 'dist_end_effector': -3.120135945391948, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.70601123, 1.85192535]), 'dist_end_effector': -6.957026239056205, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.04408645, -0.13340369]), 'dist_end_effector': -5.045850241563856, 'collision': False}
{'pos_end_effector': array([ 1.64580267, -1.16467675]), 'dist_end_effector': -3.827316169776063, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.70715014, 0.19551004]), 'dist_end_effector': -2.7142008120985723, 'collision': False}
{'pos_end_effector': array([ 2.28917816, -0.2908566 ]), 'dist_end_effector': -4.299028595167742, 'collision': False}
{'pos_end_effector': array([ 0.03844062, -4.20730175]), 'dist_end_effector': -4.6751072864174255, 'collision': False}
{'pos_end_effector': array([1.79649365, 1.87049716]), 'dist_end_effector': -4.232271689665995, 'collision': False}
{'pos_end_effector': array([ 2.53226599, -2.45946824]), 'dist_end_effector': -5.1565898654256355, 'collision': False}
{'pos_end_effector': array([ 1.61260408, -1.10493018]), 'dist_end_effector': -3.7778008069756885, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.20293861, 2.71600365]), 'dist_end_effector': -3.4970865479735105, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.21535645, -1.26305774]), 'dist_end_effector': -2.5501213759862487, 'collision': False}
{'pos_end_effector': array([ 2.54012402, -1.38092237]), 'dist_end_effector': -4.745489724864937, 'collision': False}
{'pos_end_effector': array([ 3.9915935 , -4.59520109]), 'dist_end_effector': -7.550832120113063, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.13663524,  0.36959038]), 'dist_end_effector': -1.8996645173654134, 'collision': False}
{'pos_end_effector': array([1.51945109, 0.83731261]), 'dist_end_effector': -3.617682730825097, 'collision': False}
{'pos_end_effector': array([ 1.41534298, -0.33332837]), 'dist_end_effector': -3.431570405409643, 'collision': False}
