## Generation 0 
{'pos_end_effector': array([-1.6594152, -2.5048977]), 'dist_end_effector': -2.527945907016301, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.65177694, -0.15186508]), 'dist_end_effector': -5.65381690446089, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.86572439, 3.47213489]), 'dist_end_effector': -4.502010327621278, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.80284678, 0.14309135]), 'dist_end_effector': -2.8064969650674767, 'collision': False}
{'pos_end_effector': array([-2.09077771, -4.38472236]), 'dist_end_effector': -4.385661953140519, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-4.96875766,  1.06005014]), 'dist_end_effector': -3.1523369627250073, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.71074754, -0.3614233 ]), 'dist_end_effector': -1.3389543297164652, 'collision': False}
{'pos_end_effector': array([2.44224876, 0.59273399]), 'dist_end_effector': -4.481618858406338, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.47466376, -2.54404073]), 'dist_end_effector': -5.147305992863549, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.33877721, 4.72514132]), 'dist_end_effector': -5.7857059846786445, 'collision': False}
{'pos_end_effector': array([ 0.3744619 , -0.40900792]), 'dist_end_effector': -2.4094308042566546, 'collision': False}
{'pos_end_effector': array([-0.34472219,  0.9897087 ]), 'dist_end_effector': -1.928592217618019, 'collision': False}
{'pos_end_effector': array([ 2.14687308, -1.54572077]), 'dist_end_effector': -4.425585726091189, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.14067957, 0.69917569]), 'dist_end_effector': -3.2175634923506227, 'collision': False}
{'pos_end_effector': array([-1.99056819,  2.65113951]), 'dist_end_effector': -2.651156288101038, 'collision': False}
{'pos_end_effector': array([1.69036531, 1.63997457]), 'dist_end_effector': -4.0383551967422395, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.21203471, 2.20019795]), 'dist_end_effector': -4.752063488241963, 'collision': False}
{'pos_end_effector': array([-0.95304876,  1.71521723]), 'dist_end_effector': -2.0094967127812295, 'collision': False}
{'pos_end_effector': array([-0.51072938,  0.38719585]), 'dist_end_effector': -1.5387812066141846, 'collision': False}
{'pos_end_effector': array([-0.13579676,  2.0363946 ]), 'dist_end_effector': -2.7608253595615277, 'collision': False}
{'pos_end_effector': array([ 0.96722109, -0.37963923]), 'dist_end_effector': -2.991408853602704, 'collision': False}
{'pos_end_effector': array([-0.61251204, -0.82664966]), 'dist_end_effector': -1.6150766227260291, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.89497385, 3.81205017]), 'dist_end_effector': -6.204232061797575, 'collision': False}
{'pos_end_effector': array([ 1.77145298, -1.30877772]), 'dist_end_effector': -3.9920867584330124, 'collision': False}
{'pos_end_effector': array([1.81691133, 4.13770443]), 'dist_end_effector': -5.629334773755972, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.29230114, 2.99381176]), 'dist_end_effector': -5.233235896900587, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.99498025, 1.21497878]), 'dist_end_effector': -5.140622639522979, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.66330322, -1.94756504]), 'dist_end_effector': -4.148831171279169, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.20755526, -3.32619784]), 'dist_end_effector': -7.042537500239026, 'collision': False}
{'pos_end_effector': array([ 0.18148891, -0.98005924]), 'dist_end_effector': -2.391528793340889, 'collision': False}
{'pos_end_effector': array([-0.09627193, -2.26728017]), 'dist_end_effector': -2.9605303419380173, 'collision': False}
{'pos_end_effector': array([ 0.21200896, -2.58059624]), 'dist_end_effector': -3.3988910835742994, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.77714784, 2.31049543]), 'dist_end_effector': -3.61260836904818, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.02427502, 0.69707939]), 'dist_end_effector': -7.05877887366352, 'collision': False}
{'pos_end_effector': array([1.04866619, 5.42978488]), 'dist_end_effector': -6.227112439095922, 'collision': False}
{'pos_end_effector': array([ 2.34617021, -0.95229805]), 'dist_end_effector': -4.449277138809628, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.02388447, 0.96574699]), 'dist_end_effector': -6.10080743826591, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.60487361, -2.09290559]), 'dist_end_effector': -3.3414997120831105, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.80002171, -5.82107142]), 'dist_end_effector': -5.943468715036278, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.35896302, -3.34726279]), 'dist_end_effector': -3.727890897097051, 'collision': False}
{'pos_end_effector': array([-0.25739727, -1.47731484]), 'dist_end_effector': -2.284540090453914, 'collision': False}
{'pos_end_effector': array([-2.32751219, -1.90947358]), 'dist_end_effector': -1.9373573697690516, 'collision': False}
{'pos_end_effector': array([1.30172802, 0.94598436]), 'dist_end_effector': -3.434573385416881, 'collision': False}
{'pos_end_effector': array([ 0.90362749, -0.78318468]), 'dist_end_effector': -3.0073960279996648, 'collision': False}
{'pos_end_effector': array([-0.36680981,  5.20515231]), 'dist_end_effector': -5.455357070290167, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.65370839, -1.61898992]), 'dist_end_effector': -6.847843728415714, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.93922688, -1.09114966]), 'dist_end_effector': -1.5217907828446338, 'collision': False}
{'pos_end_effector': array([3.80745531, 0.13171215]), 'dist_end_effector': -5.808948727636786, 'collision': False}
{'pos_end_effector': array([3.45095307, 0.63659933]), 'dist_end_effector': -5.4880003746668775, 'collision': False}
{'pos_end_effector': array([ 2.74079847, -0.62243756]), 'dist_end_effector': -4.7814849848044725, 'collision': False}
{'pos_end_effector': array([-0.39182856, -2.69460247]), 'dist_end_effector': -3.1380085826499844, 'collision': False}
{'pos_end_effector': array([1.40127761, 3.11151669]), 'dist_end_effector': -4.609796683948433, 'collision': False}
{'pos_end_effector': array([ 3.46521104, -0.20937906]), 'dist_end_effector': -5.46922035589817, 'collision': False}
{'pos_end_effector': array([-5.77452355, -1.32819961]), 'dist_end_effector': -4.001392539183355, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.84104133, 2.60544205]), 'dist_end_effector': -3.8548468374335583, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.18148891, -0.98005924]), 'dist_end_effector': -2.391528793340889, 'collision': False}
{'pos_end_effector': array([-1.94141966, -4.46976433]), 'dist_end_effector': -4.470148189797964, 'collision': False}
{'pos_end_effector': array([-0.55134777, -0.77320813]), 'dist_end_effector': -1.642085290734686, 'collision': False}
{'pos_end_effector': array([-3.30259007, -4.17632267]), 'dist_end_effector': -4.374747066101312, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.80002171, -5.82107142]), 'dist_end_effector': -5.943468715036278, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.22580075,  3.39396629]), 'dist_end_effector': -3.4811480358679128, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.72095625, 2.61088935]), 'dist_end_effector': -4.54557571726449, 'collision': False}
{'pos_end_effector': array([-0.32182244,  2.00600194]), 'dist_end_effector': -2.6154012543139706, 'collision': False}
{'pos_end_effector': array([1.38781396, 1.18572878]), 'dist_end_effector': -3.5893225261536403, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
