## Generation 0 
{'pos_end_effector': array([1.98453533, 2.45142162]), 'dist_end_effector': -4.678246439240406, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.09641592, -2.45768124]), 'dist_end_effector': -3.9532250912560873, 'collision': False}
{'pos_end_effector': array([ 1.35684488, -0.55571707]), 'dist_end_effector': -3.402532731284901, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.57514237, 0.07560122]), 'dist_end_effector': -2.576251887498231, 'collision': False}
{'pos_end_effector': array([-0.14310695, -0.83798292]), 'dist_end_effector': -2.0372204541776786, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.47480687, 3.75481673]), 'dist_end_effector': -5.115948735298375, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.03620736, -0.12251858]), 'dist_end_effector': -4.038066445347848, 'collision': False}
{'pos_end_effector': array([-1.56571643, -3.97089918]), 'dist_end_effector': -3.9945766419910465, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.84852265, -1.42482147]), 'dist_end_effector': -1.4328508717887303, 'collision': False}
{'pos_end_effector': array([ 5.03546814, -1.77436218]), 'dist_end_effector': -7.255768261936495, 'collision': False}
{'pos_end_effector': array([ 2.5395568 , -0.40568479]), 'dist_end_effector': -4.557648088150034, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.78408596, -2.35456354]), 'dist_end_effector': -4.456823535176545, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.57966655, 0.04499783]), 'dist_end_effector': -3.5799493584093973, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.98205944,  2.70189247]), 'dist_end_effector': -2.7019520340166836, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.30083775, 0.31964539]), 'dist_end_effector': -7.307831760018286, 'collision': False}
{'pos_end_effector': array([0.76293388, 1.95068645]), 'dist_end_effector': -3.3821562995242935, 'collision': False}
{'pos_end_effector': array([ 0.57279145, -1.44264913]), 'dist_end_effector': -2.949659704598264, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.9174151 , 1.46471113]), 'dist_end_effector': -6.095997061272835, 'collision': False}
{'pos_end_effector': array([-4.15398189, -2.83204118]), 'dist_end_effector': -3.5581027580622484, 'collision': False}
{'pos_end_effector': array([2.01534726, 2.2851446 ]), 'dist_end_effector': -4.620054051666115, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.58155774, -1.62470251]), 'dist_end_effector': -3.050262050391635, 'collision': False}
{'pos_end_effector': array([3.27202993, 2.00227868]), 'dist_end_effector': -5.639452059638091, 'collision': False}
{'pos_end_effector': array([ 0.16307109, -1.89392472]), 'dist_end_effector': -2.8750351944160415, 'collision': False}
{'pos_end_effector': array([2.94871886, 1.71634978]), 'dist_end_effector': -5.237907494301518, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.10830286, -2.934376  ]), 'dist_end_effector': -3.491286384816233, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.3219487 , 0.36566606]), 'dist_end_effector': -4.337390021920459, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.18686224,  3.42388018]), 'dist_end_effector': -3.8743288494992205, 'collision': False}
{'pos_end_effector': array([ 2.49781398, -2.17525756]), 'dist_end_effector': -4.996206165997157, 'collision': False}
{'pos_end_effector': array([ 2.09156907e-03, -2.47705839e+00]), 'dist_end_effector': -3.184994333018134, 'collision': False}
{'pos_end_effector': array([0.49878116, 1.21008455]), 'dist_end_effector': -2.7763666787430843, 'collision': False}
{'pos_end_effector': array([ 1.22190509, -1.97012466]), 'dist_end_effector': -3.776514741535419, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.78762358, 1.13919458]), 'dist_end_effector': -3.011413208723, 'collision': False}
{'pos_end_effector': array([-1.81797118,  2.42112725]), 'dist_end_effector': -2.427960391904054, 'collision': False}
{'pos_end_effector': array([ 0.24043649, -0.1657628 ]), 'dist_end_effector': -2.2465602533315696, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.69476536, 4.14743435]), 'dist_end_effector': -6.264346216554541, 'collision': False}
{'pos_end_effector': array([ 0.35475468, -3.02115046]), 'dist_end_effector': -3.8304333612896406, 'collision': False}
{'pos_end_effector': array([-0.90635889, -4.849621  ]), 'dist_end_effector': -4.971405710519394, 'collision': False}
{'pos_end_effector': array([-0.4242347, -1.7853145]), 'dist_end_effector': -2.381256835162752, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.64590145, 0.67740428]), 'dist_end_effector': -5.686394261882057, 'collision': False}
{'pos_end_effector': array([ 0.25094641, -0.08826283]), 'dist_end_effector': -2.252676198326749, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.83670747, -1.7627346 ]), 'dist_end_effector': -3.33978181023001, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.65830021, 0.79200612]), 'dist_end_effector': -2.773776072012993, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.94411877, 3.71163216]), 'dist_end_effector': -5.415928925355031, 'collision': False}
{'pos_end_effector': array([ 1.77867231, -1.41539244]), 'dist_end_effector': -4.035058879291971, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.53027844, -3.97063423]), 'dist_end_effector': -5.313078397280272, 'collision': False}
{'pos_end_effector': array([-0.66629113,  2.87045815]), 'dist_end_effector': -3.165171298942132, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.41861445, -0.70656652]), 'dist_end_effector': -3.490868228670713, 'collision': False}
{'pos_end_effector': array([ 0.13163758, -2.5202792 ]), 'dist_end_effector': -3.300861404888309, 'collision': False}
{'pos_end_effector': array([-0.11423461, -3.05208685]), 'dist_end_effector': -3.587665714161027, 'collision': False}
{'pos_end_effector': array([-0.4195974 , -6.24758154]), 'dist_end_effector': -6.444373322013926, 'collision': False}
{'pos_end_effector': array([-0.68390919,  5.33893869]), 'dist_end_effector': -5.498759984060931, 'collision': False}
{'pos_end_effector': array([1.15885464, 0.96960773]), 'dist_end_effector': -3.3043156262156197, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.74612281, -0.54101034]), 'dist_end_effector': -2.7989074118741835, 'collision': False}
{'pos_end_effector': array([3.32531234, 0.33383871]), 'dist_end_effector': -5.335766097547532, 'collision': False}
{'pos_end_effector': array([ 1.72072555, -3.75453234]), 'dist_end_effector': -5.285859603524541, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.24839382, -0.02998506]), 'dist_end_effector': -2.248593756282929, 'collision': False}
{'pos_end_effector': array([ 0.68007655, -0.79798383]), 'dist_end_effector': -2.7963527121836473, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.84078661, 0.48439073]), 'dist_end_effector': -5.860838041776239, 'collision': False}
{'pos_end_effector': array([ 1.41386321, -0.24353079]), 'dist_end_effector': -3.422538421900685, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.64590145, 0.67740428]), 'dist_end_effector': -5.686394261882057, 'collision': False}
{'pos_end_effector': array([0.78762358, 1.13919458]), 'dist_end_effector': -3.011413208723, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.57514237, 0.07560122]), 'dist_end_effector': -2.576251887498231, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.90635889, -4.849621  ]), 'dist_end_effector': -4.971405710519394, 'collision': False}
{'pos_end_effector': array([0.49878116, 1.21008455]), 'dist_end_effector': -2.7763666787430843, 'collision': False}
{'pos_end_effector': array([0.67430886, 1.21521808]), 'dist_end_effector': -2.93746197469332, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 5.19981046, -1.44251916]), 'dist_end_effector': -7.342896714486443, 'collision': False}
{'pos_end_effector': array([3.64590145, 0.67740428]), 'dist_end_effector': -5.686394261882057, 'collision': False}
{'pos_end_effector': array([ 0.16307109, -1.89392472]), 'dist_end_effector': -2.8750351944160415, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.75539644, 2.23868098]), 'dist_end_effector': -7.116675744117448, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.03620736, -0.12251858]), 'dist_end_effector': -4.038066445347848, 'collision': False}
{'pos_end_effector': array([-0.14310695, -0.83798292]), 'dist_end_effector': -2.0372204541776786, 'collision': False}
{'pos_end_effector': array([ 0.24043649, -0.1657628 ]), 'dist_end_effector': -2.2465602533315696, 'collision': False}
{'pos_end_effector': array([ 2.93771879, -5.12777382]), 'dist_end_effector': -7.118646720978775, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.18686224,  3.42388018]), 'dist_end_effector': -3.8743288494992205, 'collision': False}
{'pos_end_effector': array([5.30083775, 0.31964539]), 'dist_end_effector': -7.307831760018286, 'collision': False}
{'pos_end_effector': array([ 5.795171 , -1.3205098]), 'dist_end_effector': -7.906227740570826, 'collision': False}
{'pos_end_effector': array([3.9174151 , 1.46471113]), 'dist_end_effector': -6.095997061272835, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.44917365, 3.61745902]), 'dist_end_effector': -4.368576575844807, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.15885464, 0.96960773]), 'dist_end_effector': -3.3043156262156197, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.64590145, 0.67740428]), 'dist_end_effector': -5.686394261882057, 'collision': False}
{'pos_end_effector': array([1.15885464, 0.96960773]), 'dist_end_effector': -3.3043156262156197, 'collision': False}
{'pos_end_effector': array([ 0.83670747, -1.7627346 ]), 'dist_end_effector': -3.33978181023001, 'collision': False}
{'pos_end_effector': array([ 2.42323448, -3.30884431]), 'dist_end_effector': -5.5238984316652795, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.10830286, -2.934376  ]), 'dist_end_effector': -3.491286384816233, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.53027844, -3.97063423]), 'dist_end_effector': -5.313078397280272, 'collision': False}
{'pos_end_effector': array([-1.13827212, -3.5659372 ]), 'dist_end_effector': -3.6685805230555206, 'collision': False}
{'pos_end_effector': array([ 3.30867852, -3.46067609]), 'dist_end_effector': -6.337061355397615, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.18686224,  3.42388018]), 'dist_end_effector': -3.8743288494992205, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.53027844, -3.97063423]), 'dist_end_effector': -5.313078397280272, 'collision': False}
{'pos_end_effector': array([3.27202993, 2.00227868]), 'dist_end_effector': -5.639452059638091, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.17628114, -1.92837433]), 'dist_end_effector': -1.9364148843724411, 'collision': False}
{'pos_end_effector': array([-0.84475446, -2.317173  ]), 'dist_end_effector': -2.589185770417447, 'collision': False}
{'pos_end_effector': array([ 1.41861445, -0.70656652]), 'dist_end_effector': -3.490868228670713, 'collision': False}
{'pos_end_effector': array([-0.68754321,  5.37402887]), 'dist_end_effector': -5.531973345117522, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.82091565,  3.18529958]), 'dist_end_effector': -3.6690417303461698, 'collision': False}
