## Generation 0 
{'pos_end_effector': array([-1.2226868 ,  1.84608421]), 'dist_end_effector': -2.003058347863802, 'collision': False}
{'pos_end_effector': array([ 0.83146464, -3.1704114 ]), 'dist_end_effector': -4.250729403925694, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.66805368, -1.50252566]), 'dist_end_effector': -1.538756550733912, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.77090816,  3.05606622]), 'dist_end_effector': -3.0646408926732835, 'collision': False}
{'pos_end_effector': array([ 1.39051409, -2.95740629]), 'dist_end_effector': -4.499092995565383, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.27055063, -3.04462621]), 'dist_end_effector': -4.468361016593378, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.86653164,  2.36701979]), 'dist_end_effector': -2.6244110199654727, 'collision': False}
{'pos_end_effector': array([1.72610839, 2.50248519]), 'dist_end_effector': -4.488464754040216, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.49386892, -0.07147403]), 'dist_end_effector': -6.4942622434669675, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.37299358, -1.22202279]), 'dist_end_effector': -2.6691643295423035, 'collision': False}
{'pos_end_effector': array([ 1.48185819, -4.88811406]), 'dist_end_effector': -6.001416131177154, 'collision': False}
{'pos_end_effector': array([ 0.54817822, -1.93807878]), 'dist_end_effector': -3.2014624139373775, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.75003328, -1.64050569]), 'dist_end_effector': -4.093166076355305, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.63725423, 4.34257266]), 'dist_end_effector': -8.785532971221151, 'collision': False}
{'pos_end_effector': array([-2.26416521,  2.54780418]), 'dist_end_effector': -2.561462350296071, 'collision': False}
{'pos_end_effector': array([-0.30845427,  4.07521648]), 'dist_end_effector': -4.41233683683059, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.03020614, -4.64206251]), 'dist_end_effector': -4.755004635336717, 'collision': False}
{'pos_end_effector': array([ 1.72049951, -1.26122021]), 'dist_end_effector': -3.928459366785655, 'collision': False}
{'pos_end_effector': array([-0.30853118, -3.73348965]), 'dist_end_effector': -4.098781737944636, 'collision': False}
{'pos_end_effector': array([ 0.61915444, -0.94546113]), 'dist_end_effector': -2.784576580802874, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.07947777, -0.57389132]), 'dist_end_effector': -6.106504829072141, 'collision': False}
{'pos_end_effector': array([3.35571782, 0.29823516]), 'dist_end_effector': -5.364015061531405, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.88306687, -0.22150541]), 'dist_end_effector': -3.889379507910227, 'collision': False}
{'pos_end_effector': array([0.93729274, 0.92533033]), 'dist_end_effector': -3.07959816515935, 'collision': False}
{'pos_end_effector': array([0.25283107, 1.03013329]), 'dist_end_effector': -2.4771803389086107, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.80086816, 0.44705881]), 'dist_end_effector': -2.8363222763828895, 'collision': False}
{'pos_end_effector': array([-0.05835987, -4.98272882]), 'dist_end_effector': -5.347667981530203, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.02045869, -0.05761558]), 'dist_end_effector': -3.021008152152002, 'collision': False}
{'pos_end_effector': array([ 0.61724634, -0.6492205 ]), 'dist_end_effector': -2.6965655298458486, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.2310499 , 2.44823522]), 'dist_end_effector': -4.053830184729539, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.22933298, -2.03892866]), 'dist_end_effector': -3.8191388545902356, 'collision': False}
