## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.63235788, -2.39017962]), 'dist_end_effector': -2.753798031030116, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.78975616,  4.28898884]), 'dist_end_effector': -4.647435028668251, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.66367182, 1.95658308]), 'dist_end_effector': -3.305051423925873, 'collision': False}
{'pos_end_effector': array([ 1.25897451, -2.20040054]), 'dist_end_effector': -3.9322611025562266, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.72038878, -0.57239254]), 'dist_end_effector': -4.754966190591021, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.04040958, 0.56762495]), 'dist_end_effector': -5.072270378638802, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.73729282, 3.47021464]), 'dist_end_effector': -6.705141203269144, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.29086976, -2.93375083]), 'dist_end_effector': -3.722227582759025, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.01016842, -2.39396984]), 'dist_end_effector': -5.55273618689647, 'collision': False}
{'pos_end_effector': array([ 0.79051031, -0.1863866 ]), 'dist_end_effector': -2.796728043612594, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.42292971, -1.11729047]), 'dist_end_effector': -2.6681316229681857, 'collision': False}
