## Generation 0 
{'pos_end_effector': array([4.3100191 , 1.90476183]), 'dist_end_effector': -6.591241052606085, 'collision': False}
{'pos_end_effector': array([-0.21614184, -2.79925033]), 'dist_end_effector': -3.3193301060715026, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.01044969, -2.34715967]), 'dist_end_effector': -5.532970685449083, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.52078689, 0.63177211]), 'dist_end_effector': -2.598750189090123, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.99801785, 0.14956241]), 'dist_end_effector': -4.000814368797155, 'collision': False}
{'pos_end_effector': array([-0.4447579 , -2.67487765]), 'dist_end_effector': -3.0941474492109853, 'collision': False}
{'pos_end_effector': array([ 2.93926951, -2.20243673]), 'dist_end_effector': -5.408059801293169, 'collision': False}
{'pos_end_effector': array([ 4.42481645, -3.14757256]), 'dist_end_effector': -7.154402797253538, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.54612843, -4.44517686]), 'dist_end_effector': -4.468287894383778, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.86941034, 5.47620135]), 'dist_end_effector': -6.705305183439311, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.95972734, -1.24213511]), 'dist_end_effector': -3.2098108332470217, 'collision': False}
{'pos_end_effector': array([0.63708378, 1.17988932]), 'dist_end_effector': -2.889004956330595, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.52375997, -1.04208875]), 'dist_end_effector': -1.806995733076704, 'collision': False}
{'pos_end_effector': array([1.04677689, 2.14053906]), 'dist_end_effector': -3.7235409133216066, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.31076554, -0.31015673]), 'dist_end_effector': -2.3314876293211366, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.8161632 , -2.14769299]), 'dist_end_effector': -2.8126560243981946, 'collision': False}
{'pos_end_effector': array([5.91720572, 0.56802166]), 'dist_end_effector': -7.937555985935997, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.28078399, -3.34449913]), 'dist_end_effector': -3.420956900940439, 'collision': False}
{'pos_end_effector': array([ 1.84872768, -1.97931682]), 'dist_end_effector': -4.327863192019325, 'collision': False}
{'pos_end_effector': array([-1.4391164 , -2.98572602]), 'dist_end_effector': -3.037951654690526, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.83238305, -2.62664447]), 'dist_end_effector': -2.7553806856152505, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.51285943, 0.13775379]), 'dist_end_effector': -5.51458024277002, 'collision': False}
{'pos_end_effector': array([ 2.43760998, -1.77625759]), 'dist_end_effector': -4.779903066807535, 'collision': False}
{'pos_end_effector': array([ 0.87473313, -7.11429741]), 'dist_end_effector': -7.673155684356443, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.39399997, -0.58584916]), 'dist_end_effector': -4.432883372380728, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.07126161, 2.47085855]), 'dist_end_effector': -3.9418003305651728, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.04338237, -0.3898852 ]), 'dist_end_effector': -1.9950847113450305, 'collision': False}
{'pos_end_effector': array([2.90510172, 2.86244566]), 'dist_end_effector': -5.679226890733779, 'collision': False}
{'pos_end_effector': array([ 2.24221938, -3.50989371]), 'dist_end_effector': -5.505976672842769, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.73900625, -1.92398108]), 'dist_end_effector': -3.347216521299169, 'collision': False}
{'pos_end_effector': array([4.12679301, 1.72308074]), 'dist_end_effector': -6.36447954028002, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.89029907,  2.11802849]), 'dist_end_effector': -2.2975371842034273, 'collision': False}
{'pos_end_effector': array([-2.2931519 , -3.78014746]), 'dist_end_effector': -3.7914974468895855, 'collision': False}
{'pos_end_effector': array([-0.68243483, -2.21053972]), 'dist_end_effector': -2.5734148171577664, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.03708033e+00, 1.69252824e-03]), 'dist_end_effector': -4.037080683299268, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.91675174, -3.24546501]), 'dist_end_effector': -5.891306379081473, 'collision': False}
{'pos_end_effector': array([-3.90135224,  2.59821762]), 'dist_end_effector': -3.2196079148637, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.81581272, -1.85637015]), 'dist_end_effector': -2.201910455017543, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.72464491, -2.33428298]), 'dist_end_effector': -3.5878359694512123, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.19266821,  3.91335094]), 'dist_end_effector': -3.9180909356758304, 'collision': False}
{'pos_end_effector': array([5.05663407, 3.42395639]), 'dist_end_effector': -7.843440687257973, 'collision': False}
{'pos_end_effector': array([-0.95006676, -1.00601858]), 'dist_end_effector': -1.4541090658544682, 'collision': False}
{'pos_end_effector': array([0.08969129, 4.03307181]), 'dist_end_effector': -4.542298753817848, 'collision': False}
{'pos_end_effector': array([ 4.22445398, -0.22797801]), 'dist_end_effector': -6.228627564373323, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
