## Generation 0 
{'pos_end_effector': array([ 2.45890782, -0.14059976]), 'dist_end_effector': -4.461123984808875, 'collision': False}
{'pos_end_effector': array([ 3.39499645, -2.15873423]), 'dist_end_effector': -5.810862250855194, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.72816354, -0.79657253]), 'dist_end_effector': -5.783284994179736, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.10842195,  1.00905903]), 'dist_end_effector': -2.143890769447121, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.53924057, -1.33503765]), 'dist_end_effector': -2.8688095410392376, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.91527378, 0.41608512]), 'dist_end_effector': -3.937320865266796, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.37495533, 2.61371744]), 'dist_end_effector': -5.976760303915159, 'collision': False}
{'pos_end_effector': array([-2.30717994, -3.18051016]), 'dist_end_effector': -3.195309748308515, 'collision': False}
{'pos_end_effector': array([1.53803658, 3.271018  ]), 'dist_end_effector': -4.818429370121115, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.49269448, 1.4027695 ]), 'dist_end_effector': -5.668990646752991, 'collision': False}
{'pos_end_effector': array([2.18739938, 1.07329841]), 'dist_end_effector': -4.322763353799951, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.22222165, -2.73390657]), 'dist_end_effector': -5.0300497792909225, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.91152873, 0.90845228]), 'dist_end_effector': -7.963515073230949, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.79641599, 0.78679622]), 'dist_end_effector': -4.860519999727804, 'collision': False}
{'pos_end_effector': array([2.73392069, 3.9666758 ]), 'dist_end_effector': -6.17612516363522, 'collision': False}
{'pos_end_effector': array([2.18181597, 3.90566212]), 'dist_end_effector': -5.722043467245034, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.68934493, 1.73705574]), 'dist_end_effector': -4.077821556839672, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.46199288,  2.6553988 ]), 'dist_end_effector': -2.695288522121294, 'collision': False}
{'pos_end_effector': array([1.89803214, 1.1676953 ]), 'dist_end_effector': -4.069172751582494, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.00406783, -0.02834743]), 'dist_end_effector': -4.004168175184848, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.16276981,  2.5037783 ]), 'dist_end_effector': -3.1055306419889703, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.52340577, 0.18542216]), 'dist_end_effector': -4.527204561687906, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.60752035,  4.05219259]), 'dist_end_effector': -4.097480416343478, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.20258357, 0.71273096]), 'dist_end_effector': -4.262592417075172, 'collision': False}
{'pos_end_effector': array([1.93023398, 0.48016222]), 'dist_end_effector': -3.9594563937938565, 'collision': False}
{'pos_end_effector': array([-0.43873965,  0.93554244]), 'dist_end_effector': -1.8201026139075138, 'collision': False}
{'pos_end_effector': array([ 1.80960622, -1.37879951]), 'dist_end_effector': -4.051442666081786, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.9536345 , -2.32464328]), 'dist_end_effector': -5.471970501017371, 'collision': False}
{'pos_end_effector': array([1.28302818, 2.46042986]), 'dist_end_effector': -4.102680720451877, 'collision': False}
{'pos_end_effector': array([4.66387076, 3.42707739]), 'dist_end_effector': -7.493466015494992, 'collision': False}
{'pos_end_effector': array([-1.40613332,  1.78210644]), 'dist_end_effector': -1.8784517577374884, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.23872989, -1.54265481]), 'dist_end_effector': -3.587360472121356, 'collision': False}
{'pos_end_effector': array([ 2.84689773, -0.88577889]), 'dist_end_effector': -4.92717179203998, 'collision': False}
{'pos_end_effector': array([ 1.45725976, -2.57623028]), 'dist_end_effector': -4.311566707757365, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.58367194, 1.31906967]), 'dist_end_effector': -2.9009145958990796, 'collision': False}
{'pos_end_effector': array([0.06728904, 2.50694034]), 'dist_end_effector': -3.2493743784205553, 'collision': False}
{'pos_end_effector': array([ 2.35859503, -0.09630032]), 'dist_end_effector': -4.359658743282246, 'collision': False}
{'pos_end_effector': array([ 1.7579215, -0.0732939]), 'dist_end_effector': -3.758636185743601, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.92027786, -1.19642145]), 'dist_end_effector': -1.6115905726834854, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.31385929, -0.79844093]), 'dist_end_effector': -2.4477444229962813, 'collision': False}
{'pos_end_effector': array([1.93363472, 0.61326361]), 'dist_end_effector': -3.981152393180498, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.76983469, -1.54294376]), 'dist_end_effector': -4.073368265269042, 'collision': False}
{'pos_end_effector': array([ 2.18934659, -4.34998863]), 'dist_end_effector': -6.0392901835255834, 'collision': False}
{'pos_end_effector': array([ 4.89961516, -1.32844411]), 'dist_end_effector': -7.026339954555478, 'collision': False}
{'pos_end_effector': array([-0.19714616,  0.85074728]), 'dist_end_effector': -1.9935026681090413, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.46099376, -1.96420564]), 'dist_end_effector': -3.9795202685295687, 'collision': False}
{'pos_end_effector': array([2.74598509, 2.53338591]), 'dist_end_effector': -5.3798158547966475, 'collision': False}
{'pos_end_effector': array([1.56507594, 6.81560446]), 'dist_end_effector': -7.691698812890801, 'collision': False}
{'pos_end_effector': array([ 3.81981019, -3.57202203]), 'dist_end_effector': -6.828581993788367, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.50011598, -0.81915606]), 'dist_end_effector': -4.574063895209138, 'collision': False}
{'pos_end_effector': array([-2.98922987, -4.51484381]), 'dist_end_effector': -4.621946595054954, 'collision': False}
{'pos_end_effector': array([ 0.34734216, -1.9970143 ]), 'dist_end_effector': -3.0818957388314274, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.62769649, -0.79461619]), 'dist_end_effector': -3.7137039074137745, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.36059236, -0.64681352]), 'dist_end_effector': -2.447603727072835, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.20612377, 2.26809389]), 'dist_end_effector': -5.678730016037735, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.03504995, 0.54482557]), 'dist_end_effector': -2.106718588900583, 'collision': False}
{'pos_end_effector': array([ 0.56504438, -6.01323639]), 'dist_end_effector': -6.5374662125220535, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.370963  , 1.37783937]), 'dist_end_effector': -3.641679947454806, 'collision': False}
{'pos_end_effector': array([-0.37463437,  4.33431869]), 'dist_end_effector': -4.629053026643529, 'collision': False}
{'pos_end_effector': array([2.20258357, 0.71273096]), 'dist_end_effector': -4.262592417075172, 'collision': False}
{'pos_end_effector': array([ 2.22222165, -2.73390657]), 'dist_end_effector': -5.0300497792909225, 'collision': False}
{'pos_end_effector': array([2.73392069, 3.9666758 ]), 'dist_end_effector': -6.17612516363522, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.96075815, 1.08222646]), 'dist_end_effector': -5.0774339470814756, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.58367194, 1.31906967]), 'dist_end_effector': -2.9009145958990796, 'collision': False}
{'pos_end_effector': array([ 0.44539949, -2.02893775]), 'dist_end_effector': -3.1775095648627327, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.76983469, -1.54294376]), 'dist_end_effector': -4.073368265269042, 'collision': False}
{'pos_end_effector': array([ 1.89480592, -2.12476581]), 'dist_end_effector': -4.436681516791928, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.60433418, -3.48620736]), 'dist_end_effector': -3.755199703175409, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-6.70266568, -4.2543645 ]), 'dist_end_effector': -6.341504694342453, 'collision': False}
{'pos_end_effector': array([ 0.56504438, -6.01323639]), 'dist_end_effector': -6.5374662125220535, 'collision': False}
{'pos_end_effector': array([1.93859003, 0.6138941 ]), 'dist_end_effector': -3.9861456846169827, 'collision': False}
{'pos_end_effector': array([1.10005641, 0.46928663]), 'dist_end_effector': -3.1353755233138565, 'collision': False}
{'pos_end_effector': array([ 3.81751585, -1.36026861]), 'dist_end_effector': -5.9744306267160265, 'collision': False}
{'pos_end_effector': array([-0.14289752, -1.95038307]), 'dist_end_effector': -2.693106707738012, 'collision': False}
{'pos_end_effector': array([-0.41923788, -0.4577887 ]), 'dist_end_effector': -1.6457154610554723, 'collision': False}
{'pos_end_effector': array([-0.32898014,  4.11971898]), 'dist_end_effector': -4.445716123431392, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.16989956, -2.05582847]), 'dist_end_effector': -3.778186593721946, 'collision': False}
{'pos_end_effector': array([1.89803214, 1.1676953 ]), 'dist_end_effector': -4.069172751582494, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.50011598, -0.81915606]), 'dist_end_effector': -4.574063895209138, 'collision': False}
{'pos_end_effector': array([-0.53579581, -5.7589965 ]), 'dist_end_effector': -5.942216303062625, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.57129292, 1.32447806]), 'dist_end_effector': -2.8923674372492547, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.34734216, -1.9970143 ]), 'dist_end_effector': -3.0818957388314274, 'collision': False}
{'pos_end_effector': array([ 0.61211787, -2.82757719]), 'dist_end_effector': -3.849461327713538, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.86374471, 2.10679231]), 'dist_end_effector': -3.5552225824054338, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.35859503, -0.09630032]), 'dist_end_effector': -4.359658743282246, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
