## Generation 0 
{'pos_end_effector': array([ 0.1232585 , -1.49009008]), 'dist_end_effector': -2.5939535687071786, 'collision': False}
{'pos_end_effector': array([ 1.06183698, -0.19401097]), 'dist_end_effector': -3.067977500299421, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.76632965, -1.94220603]), 'dist_end_effector': -5.146849778012358, 'collision': False}
{'pos_end_effector': array([ 0.68600914, -1.24482087]), 'dist_end_effector': -2.9604432283878994, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.23813389,  2.27459509]), 'dist_end_effector': -2.877143551657238, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.76449482, -3.44240358]), 'dist_end_effector': -4.415039524390135, 'collision': False}
{'pos_end_effector': array([-0.85566836,  3.16193806]), 'dist_end_effector': -3.36263991387334, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.89710708, -5.34824949]), 'dist_end_effector': -5.4607824894681185, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.78591436, 1.95643831]), 'dist_end_effector': -4.261548831865113, 'collision': False}
{'pos_end_effector': array([1.03723478, 0.44945631]), 'dist_end_effector': -3.070310424875713, 'collision': False}
{'pos_end_effector': array([3.54604951, 1.66209894]), 'dist_end_effector': -5.789752845813287, 'collision': False}
{'pos_end_effector': array([0.72644645, 2.13325446]), 'dist_end_effector': -3.461832584733519, 'collision': False}
{'pos_end_effector': array([ 4.18737244, -0.98133662]), 'dist_end_effector': -6.264710627623884, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.5067271 , 4.81216854]), 'dist_end_effector': -6.5929928848906165, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.59938202, 0.5163928 ]), 'dist_end_effector': -4.628280074287775, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.3490561 , -3.13003412]), 'dist_end_effector': -3.1970050937386265, 'collision': False}
{'pos_end_effector': array([ 0.50202056, -1.91127983]), 'dist_end_effector': -3.1485071848512085, 'collision': False}
{'pos_end_effector': array([1.53831993, 1.32049149]), 'dist_end_effector': -3.776692432652192, 'collision': False}
{'pos_end_effector': array([-3.00773478, -2.9896136 ]), 'dist_end_effector': -3.154888091058368, 'collision': False}
{'pos_end_effector': array([ 0.59638696, -2.32944872]), 'dist_end_effector': -3.4882024850816626, 'collision': False}
{'pos_end_effector': array([-0.67980176, -3.02318392]), 'dist_end_effector': -3.298873204138604, 'collision': False}
{'pos_end_effector': array([-0.03909228,  0.19021644]), 'dist_end_effector': -1.9701120265355883, 'collision': False}
{'pos_end_effector': array([ 2.50257525, -0.68091083]), 'dist_end_effector': -4.553770247967134, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.81577904, 1.45949518]), 'dist_end_effector': -4.085375856327384, 'collision': False}
{'pos_end_effector': array([1.7194847 , 3.21025265]), 'dist_end_effector': -4.913276761884944, 'collision': False}
{'pos_end_effector': array([-0.28714012, -1.37420216]), 'dist_end_effector': -2.195978263212626, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.46832335, -1.5523208 ]), 'dist_end_effector': -3.7998640384066653, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.11378286, -3.37395742]), 'dist_end_effector': -3.981415160033001, 'collision': False}
{'pos_end_effector': array([0.46602786, 1.25683387]), 'dist_end_effector': -2.7678375669150617, 'collision': False}
{'pos_end_effector': array([-0.46825215, -2.67631274]), 'dist_end_effector': -3.0836506522211677, 'collision': False}
{'pos_end_effector': array([2.39376072, 0.81700709]), 'dist_end_effector': -4.469075283221746, 'collision': False}
{'pos_end_effector': array([0.45744911, 0.43127142]), 'dist_end_effector': -2.495005243544639, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.0917031 , -2.59825489]), 'dist_end_effector': -4.038509200154377, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([6.94758822, 0.58550376]), 'dist_end_effector': -8.966724578828206, 'collision': False}
{'pos_end_effector': array([-2.17264974,  2.76820314]), 'dist_end_effector': -2.7735818955323777, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.60315689, -1.16718861]), 'dist_end_effector': -4.748829605205256, 'collision': False}
{'pos_end_effector': array([ 1.69549242, -4.09856799]), 'dist_end_effector': -5.518597995317392, 'collision': False}
{'pos_end_effector': array([-0.68360278, -1.56089407]), 'dist_end_effector': -2.041884408730839, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.20096363, -3.49480063]), 'dist_end_effector': -3.5849812514442903, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.29025273, -4.08868759]), 'dist_end_effector': -4.098977050642494, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.61300132, -1.94868958]), 'dist_end_effector': -2.3918938964852705, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.02299434, 3.16174535]), 'dist_end_effector': -3.753550286854903, 'collision': False}
{'pos_end_effector': array([ 1.11229663, -1.6520045 ]), 'dist_end_effector': -3.52356484042251, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.81012246, 4.25639394]), 'dist_end_effector': -5.712610830668241, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.05425109, -3.25136365]), 'dist_end_effector': -6.872068238786869, 'collision': False}
{'pos_end_effector': array([-0.93118845,  0.86525423]), 'dist_end_effector': -1.3751447300422255, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.46559139, -1.60747563]), 'dist_end_effector': -2.943317651909611, 'collision': False}
{'pos_end_effector': array([ 1.57679223, -0.45215874]), 'dist_end_effector': -3.605258683664677, 'collision': False}
{'pos_end_effector': array([-0.07615796, -5.61092448]), 'dist_end_effector': -5.931580039115863, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.16647251, -1.26714942]), 'dist_end_effector': -1.7223024643587663, 'collision': False}
{'pos_end_effector': array([-1.52689866,  3.47636259]), 'dist_end_effector': -3.5084072958138712, 'collision': False}
{'pos_end_effector': array([ 1.74029149, -0.30029702]), 'dist_end_effector': -3.75232710756545, 'collision': False}
{'pos_end_effector': array([-0.54793905, -0.87276435]), 'dist_end_effector': -1.6941660564846879, 'collision': False}
{'pos_end_effector': array([0.24621134, 1.79721644]), 'dist_end_effector': -2.876708586940577, 'collision': False}
{'pos_end_effector': array([1.61083812, 2.10810474]), 'dist_end_effector': -4.181178961583187, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.43965605, -1.94448385]), 'dist_end_effector': -3.951234133308735, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
## Generation 1 
{'pos_end_effector': array([0.74526195, 2.17802677]), 'dist_end_effector': -3.5043207283902933, 'collision': False}
{'pos_end_effector': array([-0.51270241, -0.21813839]), 'dist_end_effector': -1.503209389208572, 'collision': False}
{'pos_end_effector': array([-0.61347596, -7.07253046]), 'dist_end_effector': -7.207158660625198, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.03723478, 0.44945631]), 'dist_end_effector': -3.070310424875713, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.34260366,  2.66466419]), 'dist_end_effector': -2.7445591965209353, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.54604951, 1.66209894]), 'dist_end_effector': -5.789752845813287, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.79802879, -1.33223294]), 'dist_end_effector': -3.0990014038777622, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.7194847 , 3.21025265]), 'dist_end_effector': -4.913276761884944, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.11229663, -1.6520045 ]), 'dist_end_effector': -3.52356484042251, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.00773478, -2.9896136 ]), 'dist_end_effector': -3.154888091058368, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.5067271 , 4.81216854]), 'dist_end_effector': -6.5929928848906165, 'collision': False}
{'pos_end_effector': array([-1.19959555, -4.66396523]), 'dist_end_effector': -4.732147397400842, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.67889188, 4.13178411]), 'dist_end_effector': -5.5322586185693625, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.97335561, 1.95291808]), 'dist_end_effector': -8.209037014165288, 'collision': False}
{'pos_end_effector': array([2.94273352, 1.79098252]), 'dist_end_effector': -5.2572077255856735, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.31680417, 0.63340552]), 'dist_end_effector': -4.363026562723565, 'collision': False}
{'pos_end_effector': array([ 1.43965605, -1.94448385]), 'dist_end_effector': -3.951234133308735, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.69549242, -4.09856799]), 'dist_end_effector': -5.518597995317392, 'collision': False}
{'pos_end_effector': array([ 1.74029149, -0.30029702]), 'dist_end_effector': -3.75232710756545, 'collision': False}
{'pos_end_effector': array([ 0.75718407, -1.98497981]), 'dist_end_effector': -3.3973826506283085, 'collision': False}
{'pos_end_effector': array([ 0.1232585 , -1.49009008]), 'dist_end_effector': -2.5939535687071786, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.85566836,  3.16193806]), 'dist_end_effector': -3.36263991387334, 'collision': False}
{'pos_end_effector': array([ 2.52742759, -3.65153735]), 'dist_end_effector': -5.8164702037039575, 'collision': False}
{'pos_end_effector': array([-1.52689866,  3.47636259]), 'dist_end_effector': -3.5084072958138712, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.67728491, 2.11953749]), 'dist_end_effector': -3.414717214244946, 'collision': False}
{'pos_end_effector': array([-0.39517523,  1.30733873]), 'dist_end_effector': -2.069926834963898, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.45866056, -3.20502542]), 'dist_end_effector': -4.039455375228847, 'collision': False}
{'pos_end_effector': array([ 4.05425109, -3.25136365]), 'dist_end_effector': -6.872068238786869, 'collision': False}
{'pos_end_effector': array([-3.04515164, -2.95149275]), 'dist_end_effector': -3.131078311187983, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.46559139, -1.60747563]), 'dist_end_effector': -2.943317651909611, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.3243748, 2.0608829]), 'dist_end_effector': -4.790350278512498, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.20096363, -3.49480063]), 'dist_end_effector': -3.5849812514442903, 'collision': False}
{'pos_end_effector': array([5.1007214 , 1.94286777]), 'dist_end_effector': -7.361723952536731, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.83884491, -2.09004204]), 'dist_end_effector': -3.5252398732995487, 'collision': False}
{'pos_end_effector': array([0.02299434, 3.16174535]), 'dist_end_effector': -3.753550286854903, 'collision': False}
{'pos_end_effector': array([-1.20096363, -3.49480063]), 'dist_end_effector': -3.5849812514442903, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.83284423, -0.82020293]), 'dist_end_effector': -5.8902295955372255, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.07615796, -5.61092448]), 'dist_end_effector': -5.931580039115863, 'collision': False}
