## Generation 0 
{'pos_end_effector': array([-0.13607428,  1.33457165]), 'dist_end_effector': -2.2924442373250153, 'collision': False}
{'pos_end_effector': array([1.07437544, 2.13719518]), 'dist_end_effector': -3.744247265470032, 'collision': False}
{'pos_end_effector': array([3.66610183, 1.91414693]), 'dist_end_effector': -5.980691299728525, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.35041945, -3.24443468]), 'dist_end_effector': -5.42701628723624, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.13571166, -1.44223629]), 'dist_end_effector': -5.334377172475631, 'collision': False}
{'pos_end_effector': array([-0.94432702, -1.1477602 ]), 'dist_end_effector': -1.5594226195058656, 'collision': False}
{'pos_end_effector': array([-0.01930064,  1.65773174]), 'dist_end_effector': -2.582875233585709, 'collision': False}
{'pos_end_effector': array([4.97273155, 3.75581627]), 'dist_end_effector': -7.919920527026749, 'collision': False}
{'pos_end_effector': array([1.62402147, 0.4565787 ]), 'dist_end_effector': -3.652669673110507, 'collision': False}
{'pos_end_effector': array([3.55963785, 1.52572957]), 'dist_end_effector': -5.765190694325294, 'collision': False}
{'pos_end_effector': array([ 0.70139844, -1.91178338]), 'dist_end_effector': -3.309451495125444, 'collision': False}
{'pos_end_effector': array([ 2.97081245, -5.60776434]), 'dist_end_effector': -7.493730534409625, 'collision': False}
{'pos_end_effector': array([ 1.40566326, -3.57451864]), 'dist_end_effector': -4.937177916996194, 'collision': False}
{'pos_end_effector': array([ 1.01196503, -2.78479253]), 'dist_end_effector': -4.102072983668924, 'collision': False}
{'pos_end_effector': array([2.78653971, 6.64113447]), 'dist_end_effector': -8.18630743374574, 'collision': False}
{'pos_end_effector': array([ 3.90803827, -1.7021145 ]), 'dist_end_effector': -6.148342053624975, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.95600765, -2.39628073]), 'dist_end_effector': -5.504922632098494, 'collision': False}
{'pos_end_effector': array([4.38585228, 1.74712117]), 'dist_end_effector': -6.620539383137729, 'collision': False}
{'pos_end_effector': array([ 1.94409108, -1.64637066]), 'dist_end_effector': -4.273919840339303, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.40539772, 0.30870793]), 'dist_end_effector': -4.416200816787347, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.2520347 , -1.66887425]), 'dist_end_effector': -4.5678157097564664, 'collision': False}
{'pos_end_effector': array([-0.25660267, -2.20045218]), 'dist_end_effector': -2.8073874050139596, 'collision': False}
{'pos_end_effector': array([-0.71570047, -1.95010331]), 'dist_end_effector': -2.335022100156767, 'collision': False}
{'pos_end_effector': array([-0.77669351, -2.16371596]), 'dist_end_effector': -2.4855875651813495, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.05195256, 0.20521605]), 'dist_end_effector': -2.0621888705123457, 'collision': False}
{'pos_end_effector': array([ 2.0359468 , -3.25491866]), 'dist_end_effector': -5.184916788918445, 'collision': False}
{'pos_end_effector': array([2.04589201, 1.31506737]), 'dist_end_effector': -4.254250147446525, 'collision': False}
{'pos_end_effector': array([-0.24486329, -5.95757542]), 'dist_end_effector': -6.210733434400669, 'collision': False}
{'pos_end_effector': array([2.05949755, 1.39658141]), 'dist_end_effector': -4.293012929004787, 'collision': False}
{'pos_end_effector': array([-1.2930828 , -2.05837912]), 'dist_end_effector': -2.176386116974653, 'collision': False}
{'pos_end_effector': array([ 1.84210082, -0.73867018]), 'dist_end_effector': -3.912463714768622, 'collision': False}
{'pos_end_effector': array([-1.4004766 ,  2.19631846]), 'dist_end_effector': -2.276673691497571, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.85023058, 0.13075272]), 'dist_end_effector': -3.8524500983790717, 'collision': False}
